"성별","연령","주택가격","거주형태","총납입료 합계","사기여부"
2,69,21250,30,27594184,"N"
2,68,2842,12,106661466,"Y"
2,68,7777,20,38454466,"N"
2,68,3949,12,50756594,"N"
2,66,6666,20,26667196,"N"
2,65,8611,20,205180448,"N"
2,63,1589,11,199009356,"N"
2,62,4081,13,18707651,"N"
2,62,8750,20,175567836,"N"
2,62,32222,20,36743778,"N"
2,62,7778,12,44543318,"N"
2,61,17222,20,34918955,"N"
2,61,23617,11,1762800,"Y"
2,60,88333,20,14727510,"N"
2,60,7683,11,66700377,"N"
2,59,6441,40,268123695,"N"
2,59,11944,30,21037203,"N"
2,59,2263,99,71465789,"N"
2,58,10177,11,10225187,"N"
2,58,4816,12,35507360,"N"
2,57,16111,20,105557022,"N"
2,57,8832,12,59729609,"N"
2,57,6944,30,13173202,"N"
2,57,6805,20,84866703,"N"
2,56,10277,30,78923648,"N"
2,56,8968,40,50143022,"N"
2,56,23888,20,25681232,"N"
2,55,15416,20,11433036,"Y"
2,55,4544,13,130538208,"N"
2,55,4027,30,50502716,"N"
2,55,28586,12,33299259,"N"
2,54,5972,30,300330990,"N"
2,54,28888,20,235492914,"N"
2,53,7500,30,61460135,"N"
2,51,11615,40,102824796,"N"
2,51,8874,12,102641830,"N"
2,51,11527,20,21165546,"N"
2,50,28055,20,27045096,"N"
2,48,11111,30,32069499,"N"
2,48,6527,30,86245013,"N"
2,48,13333,20,37909281,"Y"
2,48,10833,30,460688668,"N"
2,48,29305,20,21557368,"N"
2,48,16856,40,140698549,"Y"
2,46,11111,20,35589899,"N"
2,46,10920,99,104219725,"N"
2,45,2880,13,5734154,"N"
2,43,13141,20,2567269,"N"
2,43,14305,30,43077725,"N"
2,41,53888,20,17750399,"N"
2,40,14027,20,110700,"N"
2,43,14166,30,43574820,"N"
1,46,7638,20,37064921,"N"
1,54,8208,99,54980259,"N"
2,47,15277,20,115052286,"N"
2,52,7603,11,11799054,"N"
2,46,4027,30,5796710,"N"
2,62,7623,12,8859190,"Y"
1,48,12916,20,26548407,"N"
2,47,2476,11,55237237,"N"
2,66,6666,30,44599570,"N"
2,54,19861,20,105409406,"N"
1,66,18308,40,168846676,"N"
1,69,19444,20,12372648,"N"
2,85,55555,20,1729850,"N"
1,85,11818,40,27594800,"N"
2,83,9055,99,1700876,"N"
2,82,1966,13,1659104,"N"
2,81,18098,11,6095040,"N"
1,80,3946,40,3523480,"N"
2,80,9444,30,5622009,"N"
2,79,15000,30,38706064,"N"
2,77,11776,99,24858168,"N"
2,77,3360,30,1295500,"N"
2,77,3711,12,20741427,"N"
1,76,4077,40,18544722,"N"
2,76,2451,13,15098742,"N"
2,76,10833,20,12251817,"N"
2,76,31666,20,13657262,"N"
2,76,19777,11,5532600,"N"
1,75,22777,20,6906630,"N"
2,75,12083,20,27800,"N"
2,75,4226,99,1622387,"N"
1,75,17777,20,11716083,"N"
1,75,6250,20,5064000,"N"
1,75,5237,11,2782353,"N"
2,75,19958,30,70950316,"N"
1,75,9027,30,28590633,"N"
2,75,4225,13,380727549,"N"
2,74,8634,12,15333003,"N"
2,74,4179,13,32231742,"N"
2,74,29027,20,7246366,"N"
2,74,9041,11,11607092,"N"
2,74,3775,99,25392000,"N"
2,73,1884,11,2939900,"N"
2,73,801,11,20431452,"N"
2,73,8407,11,8555040,"N"
2,73,46685,20,9308180,"N"
1,72,13611,20,19289670,"N"
1,72,6944,20,23622461,"N"
2,72,8264,11,3276000,"N"
1,71,22465,11,73061476,"N"
2,71,1772,12,8160840,"N"
2,71,2220,12,22594317,"Y"
2,71,7109,11,29736086,"N"
1,71,18317,30,129026626,"N"
2,71,50000,12,15402840,"N"
2,71,1721,11,20121584,"N"
1,71,29305,20,37166250,"N"
2,71,10746,40,15614280,"N"
2,71,6084,11,38655500,"N"
2,70,21666,20,24686700,"Y"
1,70,35921,11,5686560,"N"
2,70,8778,11,13510189,"N"
1,70,8925,40,4999000,"N"
2,69,15138,30,332100,"N"
2,69,16984,20,3561100,"N"
2,69,9967,30,40103012,"N"
2,69,55555,20,214730239,"N"
1,69,6821,99,7872480,"N"
2,69,16900,13,14203794,"N"
2,69,21388,20,1192000,"Y"
2,69,25138,20,13812102,"N"
1,69,4861,30,16822292,"N"
2,68,28134,11,4899183,"N"
2,68,18333,20,22688412,"N"
2,68,13824,12,9992400,"N"
2,68,6167,99,90592742,"N"
2,68,15555,20,15362300,"N"
1,68,14444,30,37887208,"N"
1,68,17083,20,12404975,"N"
1,67,2398,11,22813552,"N"
1,67,8369,30,20940,"N"
1,67,32222,20,596200,"N"
1,67,6671,13,7520800,"N"
2,67,2186,13,38094810,"N"
2,67,13410,13,16520515,"N"
2,67,81527,20,6130904,"N"
2,67,9583,30,36768336,"N"
2,67,6929,40,18523243,"N"
1,66,21936,40,18802408,"N"
2,66,20000,20,12026017,"N"
1,66,0,11,161959071,"N"
1,66,3669,11,6288270,"N"
2,66,15000,20,9122370,"N"
2,66,4027,20,7722600,"N"
2,66,16805,20,56770914,"Y"
2,66,1958,11,3906370,"N"
1,65,3174,40,62864762,"N"
2,65,9166,20,6932202,"N"
2,65,10694,20,22224320,"Y"
2,65,41805,20,37750544,"N"
2,65,16388,20,37819033,"N"
2,65,20138,20,18909900,"N"
2,65,12403,11,4994899,"N"
2,65,15416,30,18395096,"N"
2,65,4608,13,32647092,"N"
2,65,12200,40,36632665,"N"
2,65,12361,30,28312434,"N"
2,65,10833,20,9899928,"N"
1,65,10157,11,14064605,"N"
2,65,14444,20,17197486,"Y"
2,65,11111,20,30533312,"N"
1,65,40000,20,3183700,"Y"
2,65,11775,40,21132660,"Y"
2,65,33472,20,16144668,"N"
2,65,12638,20,21744934,"N"
2,65,2186,13,54903627,"N"
1,65,19722,20,5839104,"N"
2,65,8236,12,41589419,"N"
1,65,7361,20,17859320,"N"
1,65,48724,11,46359301,"Y"
1,65,25000,20,11081279,"N"
2,64,6277,40,32327862,"N"
2,64,27777,20,7539283,"N"
2,64,5871,11,16937850,"N"
2,64,7916,20,44478900,"N"
1,64,8316,99,29297133,"Y"
2,64,6748,99,13446249,"N"
1,64,21111,20,13065220,"N"
1,64,9773,12,24490760,"N"
1,64,11944,20,216300,"Y"
2,64,5555,20,15819713,"N"
1,64,40737,20,26793713,"N"
1,64,4444,20,35605358,"N"
2,64,5277,20,1672300,"Y"
2,64,25555,20,32147298,"N"
1,67,123333,20,10922495,"N"
1,63,17222,20,4817400,"N"
1,63,9506,13,5580560,"N"
2,63,7361,30,3553964,"N"
2,63,10555,30,49266091,"Y"
2,63,2286,11,3953038,"N"
1,63,25555,20,60078667,"N"
2,63,55000,20,47205121,"N"
1,63,15138,20,8661418,"N"
2,63,10075,40,13664644,"N"
1,63,26111,20,3185344,"N"
2,63,20555,20,19043435,"N"
2,63,8333,20,12615972,"N"
1,63,18611,20,199210000,"N"
1,63,30254,40,16434075,"N"
2,63,6702,99,7458100,"N"
2,62,28888,20,50420528,"N"
1,62,18190,11,11165698,"N"
1,62,6409,40,31735018,"N"
2,62,9642,12,25552178,"N"
1,62,89166,20,127613798,"N"
2,62,4052,99,11172356,"N"
1,62,15555,20,9698250,"N"
2,62,14993,30,42033348,"N"
2,62,7729,11,20024568,"Y"
2,62,17222,20,18435811,"N"
2,62,1286,11,33685185,"N"
2,62,20000,20,87597220,"N"
2,62,8194,30,15964411,"N"
1,62,14027,20,4126200,"N"
1,62,15138,20,49513128,"N"
1,62,21944,20,5501134,"N"
1,62,4704,11,10189074,"N"
2,62,38611,20,93313771,"Y"
1,62,5636,40,86794346,"N"
1,62,4849,12,7258828,"N"
2,62,15555,30,11730940,"N"
2,62,14444,20,12450592,"N"
1,62,31111,20,152573891,"N"
2,61,3573,11,269758758,"N"
2,61,14305,30,37508038,"N"
2,61,8333,30,56820941,"N"
1,61,37083,20,29990706,"N"
2,61,8750,20,83500684,"N"
1,61,13194,30,2862400,"N"
1,61,2016,13,819000,"N"
2,61,64027,20,42480980,"N"
2,61,21944,20,57943608,"N"
2,61,37222,20,55336769,"N"
2,61,20988,11,22848409,"N"
2,61,17916,20,13647085,"Y"
2,61,18750,20,270040,"N"
2,61,15623,40,29571833,"N"
1,61,9869,30,878944,"Y"
1,61,7455,99,341300,"N"
2,61,55972,20,20358117,"N"
2,61,20277,20,144010342,"Y"
2,61,8452,11,24659830,"N"
2,61,10694,20,14124332,"Y"
2,61,2351,11,20388852,"Y"
2,61,2988,40,128846487,"N"
1,60,12500,20,70750,"N"
2,60,6944,20,26440705,"N"
1,60,31666,20,41563859,"N"
2,60,14305,30,213925,"N"
2,60,3041,13,14139045,"N"
1,60,42361,20,10565865,"N"
1,60,12869,11,6868738,"N"
1,60,26666,20,6214741,"N"
1,60,10972,30,3155974,"N"
2,60,16135,13,4193774,"N"
1,60,15138,30,21339882,"Y"
1,60,6834,40,72027950,"N"
1,60,11662,99,18784806,"N"
2,60,18333,30,91721230,"Y"
2,60,16944,20,53883088,"Y"
1,60,19094,99,2444850,"N"
2,60,8285,99,59505561,"N"
2,60,25555,20,1658687,"N"
1,60,5992,12,5594516,"N"
1,60,14267,12,18919346,"N"
1,60,10136,40,92000,"N"
2,60,16302,11,47073225,"N"
2,60,18888,20,22646182,"N"
1,60,51250,20,12761771,"N"
2,60,17361,20,20211978,"N"
2,60,6344,20,8764228,"N"
2,60,20699,11,13967407,"N"
2,60,11573,12,51740320,"N"
2,60,8827,40,56902567,"N"
2,60,24722,20,114381036,"N"
1,60,22777,20,10901540,"N"
2,59,5883,40,35078067,"N"
2,59,43472,20,213673744,"N"
1,59,27496,11,8405296,"N"
1,59,16666,20,31854426,"N"
1,59,17638,20,6247470,"Y"
2,59,27222,20,6376264,"N"
1,59,10694,20,22522348,"N"
1,59,46203,20,16802158,"N"
1,59,53333,20,3600000,"N"
1,59,10555,30,11082410,"N"
1,59,32639,13,55631164,"N"
2,59,22638,20,34176721,"N"
2,59,13942,30,55271300,"N"
2,59,12055,99,12236956,"N"
2,59,30555,20,14262194,"N"
2,59,10968,13,102364573,"N"
1,59,30555,20,268099107,"N"
2,59,9861,20,17206286,"N"
2,59,16388,20,12484608,"Y"
1,59,11111,20,162138502,"N"
2,59,20284,99,10414926,"N"
1,58,39305,20,26810914,"N"
1,58,10277,20,3923600,"N"
2,58,23684,12,15490718,"N"
1,58,7361,30,1029394,"Y"
2,58,4209,13,35645322,"N"
2,58,5109,40,233068206,"N"
2,58,1638,12,8237361,"Y"
2,58,6666,30,22296054,"N"
2,58,7787,40,53792972,"N"
2,58,7638,30,110373302,"Y"
2,58,23333,20,86678063,"N"
2,58,2639,13,19038547,"N"
1,58,21527,20,38270564,"N"
1,58,5144,99,15267626,"N"
2,58,22916,20,4962804,"Y"
2,58,6242,99,9854625,"Y"
2,58,9591,11,24116656,"N"
1,58,27083,20,254732084,"Y"
2,58,13333,20,25613176,"Y"
1,58,5114,11,38213095,"N"
1,58,55555,20,470100,"N"
2,58,18973,99,5027013,"N"
2,58,11429,40,124358376,"N"
2,58,11238,11,14342960,"N"
2,58,33888,20,232881508,"N"
2,58,30000,20,5990335,"N"
2,57,24444,20,10218887,"N"
1,57,7638,20,60672936,"N"
2,57,28194,20,21803565,"N"
1,57,20833,20,1923900,"N"
2,57,36549,20,4954600,"Y"
2,57,12777,20,8549214,"Y"
1,57,15833,20,247698,"N"
2,57,11894,12,41798359,"N"
1,57,23750,20,25430609,"N"
2,57,2455,12,21691170,"N"
1,57,5841,99,12128600,"N"
1,57,8055,30,6393070,"Y"
2,57,15016,11,11569240,"N"
1,57,4118,99,46696160,"N"
1,57,14450,40,18285399,"N"
2,57,22582,11,11908156,"N"
2,57,8277,13,10968440,"N"
1,57,30000,20,43171929,"N"
1,57,27222,20,22972892,"N"
2,57,20972,20,24292134,"N"
2,57,10287,12,69168015,"N"
2,57,2228,11,20643149,"N"
1,57,40416,20,9233900,"N"
2,57,16944,20,79529673,"N"
2,57,18888,20,102841419,"N"
2,57,4080,11,17965278,"N"
2,57,51111,20,6922825,"N"
1,57,13632,40,12485813,"N"
2,57,8194,20,31784120,"N"
1,56,20574,12,49053092,"N"
2,56,18055,20,63894543,"Y"
1,56,15833,30,38739293,"N"
2,56,21388,20,23120160,"Y"
1,56,32777,20,40404560,"N"
2,56,43055,20,125985535,"N"
2,56,19583,20,44395673,"N"
2,56,46666,20,46309286,"N"
1,56,6250,20,125923357,"N"
2,56,4437,12,10985788,"N"
2,56,10762,40,13582720,"N"
2,56,91589,11,343740411,"N"
2,56,6664,11,109642549,"N"
2,56,2678,13,38582490,"Y"
2,56,11527,30,37328371,"N"
1,56,3333,20,21051642,"N"
1,56,25000,20,9523198,"N"
1,56,10972,20,41792266,"N"
2,56,2532,13,145562364,"N"
2,56,31250,20,4976400,"N"
1,56,15477,40,14898210,"N"
2,56,7916,20,67983182,"N"
2,56,6527,20,10638583,"N"
2,56,28333,20,107888261,"N"
2,56,23611,20,32822366,"N"
1,56,6863,11,6737000,"N"
2,56,12553,12,18504588,"N"
1,56,9444,20,4684167,"N"
2,56,9556,13,174659634,"N"
1,56,55555,20,75210024,"N"
2,56,14166,20,7552842,"Y"
2,56,30555,20,19868152,"N"
2,55,27222,20,33889194,"N"
2,55,20421,40,37508134,"N"
1,55,39583,20,50293050,"N"
2,55,31527,20,6315085,"N"
2,55,3686,12,15706830,"Y"
2,55,5416,30,13696095,"Y"
2,55,10509,99,46000139,"N"
1,55,30000,20,15849760,"N"
1,55,8728,40,16893213,"N"
1,55,36111,20,84841537,"N"
2,55,21666,20,226262515,"N"
2,55,6460,11,7389160,"N"
1,55,14027,20,21712987,"N"
2,55,5944,12,12594838,"N"
2,55,14305,20,79515171,"N"
2,55,7763,40,140673410,"N"
2,55,12642,40,141574174,"N"
1,55,10833,20,21341105,"N"
2,55,6927,99,33734755,"N"
1,55,15076,40,14467371,"N"
2,55,23888,20,60841658,"N"
2,55,2313,13,40618604,"N"
2,55,8385,40,7516825,"Y"
1,55,41666,20,3835124,"N"
1,55,17777,20,15220287,"N"
2,55,22500,20,24854664,"N"
2,55,27777,20,16493413,"N"
2,54,14027,20,73752271,"N"
1,54,9166,20,55460991,"N"
2,54,23333,20,8358655,"N"
1,54,3547,13,66192428,"N"
2,54,23888,20,35371361,"N"
2,54,28750,20,27233201,"N"
2,54,53750,20,77351980,"N"
2,54,17777,20,7448546,"N"
1,54,12650,50,95463153,"N"
2,54,20972,30,43158218,"N"
1,54,2350,11,100000,"N"
1,54,23750,20,9075278,"N"
2,54,7361,20,69509813,"N"
2,54,13891,99,9703049,"N"
1,54,4849,40,177464883,"N"
2,54,12222,30,47129442,"N"
1,54,8431,12,22060662,"N"
1,54,9922,11,241080,"N"
2,54,12222,20,38363573,"Y"
1,54,1756,12,23248384,"N"
1,54,42614,11,60863484,"N"
2,54,7905,11,205636393,"N"
2,54,6805,30,10683329,"Y"
2,54,29444,20,18563336,"N"
2,54,11111,30,21932524,"N"
1,53,6672,11,3821260,"N"
2,53,16666,20,11623805,"N"
1,53,7916,20,15241880,"N"
1,53,6017,40,39116747,"Y"
1,53,7684,12,6276900,"N"
2,53,91111,20,182927536,"N"
2,53,26388,20,26669250,"N"
2,53,31944,20,14511564,"N"
1,53,21666,30,30189320,"N"
2,53,4929,12,29326041,"N"
2,53,67916,20,69985713,"N"
1,53,33333,20,35717989,"N"
1,53,20694,20,17226236,"N"
1,53,22222,20,21000000,"N"
2,53,9369,40,21544288,"N"
1,53,12777,20,3412500,"N"
2,53,19583,20,26062856,"N"
1,53,8611,20,29426014,"N"
2,53,15540,99,15307692,"N"
1,53,5972,30,34204174,"N"
1,53,15276,30,1669856,"N"
1,53,16805,20,20231606,"N"
2,53,16111,20,37439130,"N"
2,53,5866,13,40836446,"N"
2,53,26805,20,71932496,"N"
2,53,16944,20,65597118,"N"
2,53,4214,40,45293753,"Y"
2,53,17916,20,32694843,"N"
2,53,9133,99,4486084,"N"
1,53,23611,20,124519259,"N"
2,53,6666,20,63031844,"N"
1,53,6601,11,38972035,"N"
2,53,50000,20,4867800,"N"
2,53,39722,20,23141462,"N"
1,52,6250,20,23433484,"N"
2,52,30277,20,294642771,"N"
1,52,12500,20,1848000,"N"
1,52,44054,20,64579673,"N"
2,52,26527,20,7144948,"N"
2,52,12353,20,31044849,"N"
1,52,31944,20,73939223,"N"
2,52,65092,11,3200849,"N"
2,52,2963,11,47398477,"N"
2,52,12117,12,10772677,"N"
1,52,10416,20,30000,"N"
1,52,19509,20,423300,"N"
1,52,22849,11,11841268,"N"
2,52,3974,12,7395870,"N"
2,52,38055,20,28844351,"N"
2,52,31111,20,4368681,"N"
1,52,3398,12,25903209,"N"
1,52,11944,30,7069160,"N"
2,52,5833,20,17209564,"Y"
2,52,2222,20,23054499,"Y"
1,52,17083,20,138560,"N"
2,52,5261,11,5066163,"N"
2,52,2541,13,50158850,"N"
2,52,4202,12,33551426,"Y"
2,52,8194,30,51117243,"N"
2,51,24444,20,67011753,"N"
2,51,5091,99,18449494,"N"
1,51,3971,12,4466900,"N"
2,51,22916,20,4207390,"N"
2,51,15833,20,80733842,"N"
1,51,8953,40,30700000,"N"
1,51,16522,99,36383578,"N"
2,51,2926,13,17452484,"N"
2,51,13194,20,38021017,"N"
1,51,30972,20,6122102,"N"
1,51,2916,30,3503224,"N"
1,51,6058,12,33008812,"N"
1,51,31666,20,8829300,"N"
2,51,45555,20,140840560,"N"
2,51,8483,12,15392472,"N"
2,51,9722,30,44086762,"N"
2,51,29444,20,18581447,"N"
1,51,25435,11,21390184,"N"
2,51,4583,30,16626411,"Y"
1,51,11666,30,7336592,"N"
2,51,40138,20,69900973,"N"
2,51,28194,20,4769902,"Y"
2,51,9583,30,11104411,"N"
1,51,19583,30,19734239,"N"
1,51,15972,20,31527237,"N"
2,51,3628,99,215395384,"N"
1,51,9858,30,9159933,"N"
2,51,4451,12,21150252,"N"
2,51,14717,99,27218437,"N"
1,51,14444,20,18908876,"N"
2,51,20555,20,1381800,"Y"
2,51,32638,20,39532225,"N"
2,50,21666,20,4902640,"Y"
2,50,29166,20,29243888,"N"
2,50,21111,20,3964350,"N"
1,50,3333,30,4864206,"N"
2,50,12777,20,6072879,"N"
2,50,20000,20,41038657,"N"
2,50,4892,13,94713944,"N"
1,50,23472,20,7887592,"N"
2,50,43472,20,69026680,"N"
2,50,12776,99,4473903,"N"
2,50,12777,20,10404186,"N"
2,50,5830,13,8078906,"N"
2,50,15555,20,61342881,"N"
2,50,42222,20,36939839,"N"
2,50,20000,20,17754047,"N"
2,50,30000,20,62536733,"N"
1,50,48888,20,21469071,"N"
1,50,16106,99,5093010,"N"
2,50,12985,20,98051707,"N"
2,50,28472,20,6738750,"N"
2,50,7088,30,25491581,"N"
2,50,7807,12,66326753,"N"
1,50,25416,20,38296407,"N"
2,50,18333,20,39518123,"N"
1,50,0,11,31336066,"N"
1,50,17916,20,29514811,"N"
2,49,3550,13,5510274,"N"
1,49,39444,20,10403635,"N"
1,49,11388,20,41670496,"N"
2,49,14102,30,124741928,"N"
2,49,19027,20,32403644,"N"
1,49,9512,99,29820048,"N"
2,49,10775,12,31565940,"N"
2,49,12083,20,267759184,"N"
1,49,2799,12,4367112,"N"
2,49,7777,30,22548336,"N"
1,49,22500,20,59907826,"N"
2,49,25000,20,41115419,"N"
2,49,13089,20,8095252,"N"
2,49,20416,20,51364350,"N"
1,49,9166,20,17466820,"N"
2,49,10833,30,100890369,"N"
2,49,22083,20,9666276,"N"
1,49,5712,40,2569058,"N"
2,49,14444,30,24567277,"N"
1,49,12222,30,480750,"N"
2,49,34027,20,37860408,"N"
2,49,9444,20,123928555,"N"
2,49,10444,40,49994382,"N"
2,49,11172,99,52515109,"N"
1,49,11932,20,43873348,"N"
2,49,13899,12,47890132,"Y"
1,49,6108,12,5785610,"N"
2,49,34027,20,24932673,"N"
2,49,15972,20,39634408,"N"
2,49,30555,20,29707284,"N"
2,49,24583,20,111755623,"N"
1,49,19722,20,58449927,"N"
1,48,12916,20,15232684,"N"
2,48,9583,30,30530965,"N"
2,48,7222,20,26351373,"N"
2,48,24569,11,37948969,"N"
2,48,18333,30,86895154,"N"
2,48,40679,20,28974476,"N"
1,48,14117,40,25200,"Y"
2,48,9861,20,14707654,"N"
1,48,31666,20,1568200,"Y"
2,48,20277,20,35319057,"N"
2,48,38888,20,1590860,"N"
1,48,17361,20,36443633,"Y"
1,48,2960,13,2882106,"N"
2,48,6767,40,30160320,"N"
1,48,41054,11,15890170,"N"
1,48,14305,20,20182596,"N"
1,48,0,11,424442416,"N"
1,48,24584,20,58120053,"N"
2,48,12361,20,6050100,"Y"
1,48,7500,20,6760884,"N"
1,48,8481,40,5319428,"N"
2,48,6944,20,44689972,"N"
2,48,11250,20,32797751,"N"
2,48,4300,40,6159654,"N"
1,48,4778,12,6010933,"Y"
2,48,24166,20,29216643,"N"
2,48,13194,20,13251825,"N"
2,48,25000,20,106909634,"N"
2,47,6912,12,5394339,"N"
2,47,29166,20,35728592,"N"
1,47,8037,12,18827583,"N"
1,47,9305,20,41121345,"N"
1,47,17222,30,4215173,"N"
2,47,4465,12,77282296,"Y"
2,47,10833,20,6571226,"N"
2,47,10681,40,18096594,"N"
1,47,14444,20,9916374,"N"
1,47,4444,30,25608624,"N"
1,47,13097,99,16232352,"N"
1,47,13333,20,26710280,"N"
1,47,18194,20,219337024,"N"
2,47,9861,20,13175688,"N"
2,47,33472,20,38737422,"N"
1,47,7529,99,4712620,"N"
2,47,7133,12,6295826,"N"
2,47,10694,30,36275142,"Y"
1,47,98888,20,5502700,"N"
2,47,41388,20,32912060,"N"
2,47,36944,20,307202763,"N"
2,47,36666,20,241294083,"N"
1,47,25000,20,2162158,"N"
2,47,15975,99,64858272,"N"
1,47,7500,20,7198765,"N"
2,47,41805,20,23302456,"N"
1,47,43333,20,23714049,"N"
1,47,5277,20,7688932,"N"
2,47,24861,20,99395907,"Y"
2,47,4800,12,5828520,"N"
1,47,20224,99,39673552,"N"
2,47,6944,20,47678237,"N"
2,47,6770,40,69245127,"N"
1,46,16111,20,20383193,"N"
2,46,43888,20,33237722,"N"
2,46,36666,20,27267025,"N"
1,46,6216,99,1334100,"N"
1,46,24305,30,507600,"N"
1,46,12777,20,35806092,"N"
2,46,21250,20,49377260,"N"
2,46,12500,20,1640890,"N"
1,46,40694,20,15438417,"N"
2,46,18472,20,24153983,"N"
1,46,30277,20,21613964,"N"
2,46,15227,40,17059932,"N"
2,46,6527,20,1684650,"Y"
1,46,31666,20,168984291,"N"
1,46,2200,11,17229106,"N"
2,46,9444,20,958726,"N"
1,46,15277,30,10404618,"N"
1,46,14166,20,8751415,"N"
1,46,39166,20,9039201,"Y"
1,46,11468,50,6347050,"Y"
1,46,11388,20,18781960,"N"
2,46,19722,20,8333240,"N"
1,46,30138,20,74912870,"N"
1,46,12791,13,12288464,"N"
2,46,8194,30,525170,"N"
1,46,10517,13,7014614,"N"
1,46,15152,12,12198797,"N"
1,46,18888,20,22312377,"N"
2,46,17777,20,33852513,"N"
2,46,27222,20,18152359,"N"
2,46,20694,20,91979242,"N"
2,46,16745,99,11111336,"N"
2,46,8333,20,6057066,"Y"
2,45,5555,30,16270456,"N"
1,45,13686,12,49780259,"N"
2,45,21944,20,43794700,"N"
1,45,3750,20,1568420,"N"
1,45,3218,11,12906876,"Y"
1,45,17083,20,1860400,"Y"
1,45,17620,40,31522272,"N"
2,45,20000,20,7257000,"N"
1,45,20000,20,24288570,"N"
2,45,5917,12,4341428,"Y"
2,45,9563,40,8187074,"N"
1,45,21111,30,32193946,"N"
1,45,5970,12,16027247,"Y"
2,44,7361,20,43780414,"N"
2,44,21666,20,5979084,"N"
1,44,9293,40,14769574,"Y"
1,44,45506,11,6895150,"N"
2,44,23435,99,11493778,"N"
1,44,33750,20,24169868,"N"
1,44,10928,40,35251549,"N"
2,44,26944,20,17481535,"N"
1,44,50000,12,12401406,"N"
2,44,4444,20,27793577,"N"
1,44,21805,20,7985282,"N"
1,44,28888,20,2959983,"N"
1,44,7086,40,6315828,"N"
2,44,11972,40,26269464,"N"
1,44,22083,20,29515608,"N"
1,44,17916,20,13868034,"N"
2,44,25277,20,16455185,"N"
2,44,21666,20,19495894,"N"
2,44,7049,99,26937838,"N"
2,44,23289,12,13946949,"N"
1,44,27083,20,5701880,"N"
1,44,10972,50,42024822,"N"
2,44,11947,12,34338979,"N"
1,44,17500,30,13580675,"N"
2,43,7106,99,5329215,"N"
2,43,6248,99,14756819,"N"
2,43,27916,30,4430768,"N"
2,43,38194,20,24972159,"N"
2,43,25027,20,2739280,"N"
1,43,22777,20,1517000,"N"
2,43,28333,20,37726210,"N"
1,43,31666,20,30108487,"Y"
1,43,7638,20,12015470,"N"
2,43,22916,20,100751055,"N"
2,43,19583,20,35916301,"N"
2,43,31111,20,154884490,"N"
2,43,9444,30,35639253,"Y"
1,43,33333,20,106850629,"N"
1,43,30000,20,4783661,"N"
2,43,13472,20,6014237,"N"
1,43,3655,99,12808790,"Y"
1,43,28333,20,50639416,"N"
1,43,0,60,24863904,"N"
1,43,20138,20,4269680,"N"
